epoch,loss,accuracy_train,accuracy_test,model
31,0.6478258371353149,0.6453333333333333,0.632,cnn_1d
32,0.6505535840988159,0.6431111111111111,0.6346666666666667,cnn_1d
33,0.6335697174072266,0.644,0.632,cnn_1d
34,0.6320281028747559,0.6453333333333333,0.6346666666666667,cnn_1d
35,0.6236224174499512,0.6542222222222223,0.6426666666666667,cnn_1d
36,0.6426250338554382,0.6506666666666666,0.6386666666666667,cnn_1d
37,0.6259299516677856,0.648,0.644,cnn_1d
38,0.6333116888999939,0.6493333333333333,0.6413333333333333,cnn_1d
39,0.6370986104011536,0.6515555555555556,0.6426666666666667,cnn_1d
40,0.623283326625824,0.6591111111111111,0.6493333333333333,cnn_1d
41,0.6252480149269104,0.6524444444444445,0.636,cnn_1d
42,0.6312030553817749,0.6586666666666666,0.6466666666666666,cnn_1d
43,0.6319757699966431,0.6551111111111111,0.6386666666666667,cnn_1d
44,0.6276863813400269,0.6604444444444444,0.6453333333333333,cnn_1d
45,0.6465632915496826,0.6631111111111111,0.6493333333333333,cnn_1d
46,0.6373053193092346,0.6626666666666666,0.6506666666666666,cnn_1d
47,0.6364784240722656,0.6617777777777778,0.6466666666666666,cnn_1d
48,0.6297152638435364,0.6555555555555556,0.6453333333333333,cnn_1d
49,0.6276556253433228,0.664,0.6253333333333333,cnn_1d
50,0.6229334473609924,0.6582222222222223,0.648,cnn_1d
51,0.6207899451255798,0.664,0.6373333333333333,cnn_1d
52,0.6258832812309265,0.664,0.6466666666666666,cnn_1d
53,0.6376930475234985,0.6631111111111111,0.648,cnn_1d
54,0.632279634475708,0.6644444444444444,0.64,cnn_1d
55,0.635746955871582,0.6648888888888889,0.6426666666666667,cnn_1d
56,0.6224966645240784,0.6622222222222223,0.6466666666666666,cnn_1d
57,0.6180694699287415,0.6688888888888889,0.632,cnn_1d
58,0.6322200894355774,0.6666666666666666,0.6493333333333333,cnn_1d
59,0.6207737326622009,0.6702222222222223,0.6333333333333333,cnn_1d
60,0.6215319633483887,0.6675555555555556,0.6493333333333333,cnn_1d
61,0.6174086332321167,0.6702222222222223,0.6386666666666667,cnn_1d
62,0.6140345335006714,0.6697777777777778,0.644,cnn_1d
63,0.6026325821876526,0.6715555555555556,0.6493333333333333,cnn_1d
64,0.6354873180389404,0.6688888888888889,0.6413333333333333,cnn_1d
65,0.6323915719985962,0.6724444444444444,0.6386666666666667,cnn_1d
66,0.6167984008789062,0.672,0.6493333333333333,cnn_1d
67,0.620010495185852,0.6724444444444444,0.64,cnn_1d
68,0.61857008934021,0.6746666666666666,0.6466666666666666,cnn_1d
69,0.6159908771514893,0.6733333333333333,0.648,cnn_1d
70,0.6109413504600525,0.6751111111111111,0.6466666666666666,cnn_1d
71,0.6271888613700867,0.6737777777777778,0.6493333333333333,cnn_1d
72,0.5887864828109741,0.6742222222222222,0.6333333333333333,cnn_1d
73,0.5933129191398621,0.676,0.644,cnn_1d
74,0.6062396764755249,0.6764444444444444,0.6453333333333333,cnn_1d
75,0.6177005171775818,0.6773333333333333,0.652,cnn_1d
76,0.634507417678833,0.6804444444444444,0.652,cnn_1d
77,0.5874441862106323,0.6786666666666666,0.6453333333333333,cnn_1d
78,0.607092022895813,0.6733333333333333,0.6493333333333333,cnn_1d
79,0.6220242381095886,0.6751111111111111,0.6373333333333333,cnn_1d
80,0.6049900054931641,0.6777777777777778,0.6546666666666666,cnn_1d
81,0.6039234399795532,0.6777777777777778,0.648,cnn_1d
82,0.6076162457466125,0.6764444444444444,0.644,cnn_1d
83,0.591823935508728,0.6835555555555556,0.6546666666666666,cnn_1d
84,0.6033580303192139,0.684,0.6546666666666666,cnn_1d
85,0.5920790433883667,0.6822222222222222,0.6466666666666666,cnn_1d
86,0.6058983206748962,0.6768888888888889,0.6466666666666666,cnn_1d
87,0.6038851737976074,0.6808888888888889,0.656,cnn_1d
88,0.6036662459373474,0.6786666666666666,0.6453333333333333,cnn_1d
89,0.6199138760566711,0.6848888888888889,0.6546666666666666,cnn_1d
90,0.6139101386070251,0.6786666666666666,0.6453333333333333,cnn_1d
91,0.6124313473701477,0.6813333333333333,0.656,cnn_1d
92,0.6119045615196228,0.6777777777777778,0.6453333333333333,cnn_1d
93,0.6074041128158569,0.6817777777777778,0.6533333333333333,cnn_1d
94,0.6130338311195374,0.6848888888888889,0.652,cnn_1d
95,0.6170101165771484,0.6871111111111111,0.656,cnn_1d
96,0.5923928022384644,0.6826666666666666,0.6466666666666666,cnn_1d
97,0.6125840544700623,0.6768888888888889,0.6586666666666666,cnn_1d
98,0.6003983616828918,0.6813333333333333,0.644,cnn_1d
99,0.6192595362663269,0.6848888888888889,0.652,cnn_1d
100,0.6214664578437805,0.6813333333333333,0.652,cnn_1d
101,0.6108874678611755,0.676,0.6413333333333333,cnn_1d
